dataset,condition,hemi,subject_row,measure,value,dataset_pair
MICs,synthseg_v0.2,L,17,consistency,,
MICs,synthseg_v0.2,L,18,consistency,,
MICs,synthseg_v0.2,L,19,consistency,,
MICs,synthseg_v0.2,L,20,consistency,,
MICs,synthseg_v0.2,L,21,consistency,,
MICs,synthseg_v0.2,L,22,consistency,0.9838309931340061,
MICs,synthseg_v0.2,L,23,consistency,,
MICs,synthseg_v0.2,L,24,consistency,,
MICs,synthseg_v0.2,L,25,consistency,,
MICs,synthseg_v0.2,R,0,consistency,0.9976991323345528,
MICs,synthseg_v0.2,R,1,consistency,0.9924363831429875,
MICs,synthseg_v0.2,R,2,consistency,0.99922495989863,
MICs,synthseg_v0.2,R,3,consistency,0.998229571510195,
MICs,synthseg_v0.2,R,4,consistency,0.9950473606656938,
MICs,synthseg_v0.2,R,5,consistency,0.986586876960585,
MICs,synthseg_v0.2,R,6,consistency,,
MICs,synthseg_v0.2,R,7,consistency,,
MICs,synthseg_v0.2,R,8,consistency,0.9988225645678509,
MICs,synthseg_v0.2,R,9,consistency,,
MICs,synthseg_v0.2,R,10,consistency,,
MICs,synthseg_v0.2,R,11,consistency,,
MICs,synthseg_v0.2,R,12,consistency,,
MICs,synthseg_v0.2,R,13,consistency,,
MICs,synthseg_v0.2,R,14,consistency,0.9964756609520419,
MICs,synthseg_v0.2,R,15,consistency,0.9971726220524733,
MICs,synthseg_v0.2,R,16,consistency,,
MICs,synthseg_v0.2,R,17,consistency,,
MICs,synthseg_v0.2,R,18,consistency,,
MICs,synthseg_v0.2,R,19,consistency,,
MICs,synthseg_v0.2,R,20,consistency,,
MICs,synthseg_v0.2,R,21,consistency,,
MICs,synthseg_v0.2,R,22,consistency,0.9801719624910483,
MICs,synthseg_v0.2,R,23,consistency,,
MICs,synthseg_v0.2,R,24,consistency,,
MICs,synthseg_v0.2,R,25,consistency,0.9972983158396838,
MICs,synthlayer_v0.3,L,0,consistency,,
MICs,synthlayer_v0.3,L,1,consistency,,
MICs,synthlayer_v0.3,L,2,consistency,,
MICs,synthlayer_v0.3,L,3,consistency,,
MICs,synthlayer_v0.3,L,4,consistency,0.9895747084866384,
MICs,synthlayer_v0.3,L,5,consistency,,
MICs,synthlayer_v0.3,L,6,consistency,,
MICs,synthlayer_v0.3,L,7,consistency,,
MICs,synthlayer_v0.3,L,8,consistency,,
MICs,synthlayer_v0.3,L,9,consistency,,
MICs,synthlayer_v0.3,L,10,consistency,,
MICs,synthlayer_v0.3,L,11,consistency,,
MICs,synthlayer_v0.3,L,12,consistency,,
MICs,synthlayer_v0.3,L,13,consistency,,
MICs,synthlayer_v0.3,L,14,consistency,,
MICs,synthlayer_v0.3,L,15,consistency,,
MICs,synthlayer_v0.3,L,16,consistency,,
MICs,synthlayer_v0.3,L,17,consistency,,
MICs,synthlayer_v0.3,L,18,consistency,,
MICs,synthlayer_v0.3,L,19,consistency,,
MICs,synthlayer_v0.3,L,20,consistency,,
MICs,synthlayer_v0.3,L,21,consistency,,
MICs,synthlayer_v0.3,L,22,consistency,,
MICs,synthlayer_v0.3,L,23,consistency,,
MICs,synthlayer_v0.3,L,24,consistency,,
MICs,synthlayer_v0.3,L,25,consistency,,
MICs,synthlayer_v0.3,R,0,consistency,,
MICs,synthlayer_v0.3,R,1,consistency,,
MICs,synthlayer_v0.3,R,2,consistency,,
MICs,synthlayer_v0.3,R,3,consistency,,
MICs,synthlayer_v0.3,R,4,consistency,0.9960413027711796,
MICs,synthlayer_v0.3,R,5,consistency,,
MICs,synthlayer_v0.3,R,6,consistency,,
MICs,synthlayer_v0.3,R,7,consistency,,
MICs,synthlayer_v0.3,R,8,consistency,,
MICs,synthlayer_v0.3,R,9,consistency,,
MICs,synthlayer_v0.3,R,10,consistency,,
MICs,synthlayer_v0.3,R,11,consistency,,
MICs,synthlayer_v0.3,R,12,consistency,,
MICs,synthlayer_v0.3,R,13,consistency,,
MICs,synthlayer_v0.3,R,14,consistency,,
MICs,synthlayer_v0.3,R,15,consistency,,
MICs,synthlayer_v0.3,R,16,consistency,,
MICs,synthlayer_v0.3,R,17,consistency,,
MICs,synthlayer_v0.3,R,18,consistency,,
MICs,synthlayer_v0.3,R,19,consistency,,
MICs,synthlayer_v0.3,R,20,consistency,,
MICs,synthlayer_v0.3,R,21,consistency,,
MICs,synthlayer_v0.3,R,22,consistency,,
MICs,synthlayer_v0.3,R,23,consistency,,
MICs,synthlayer_v0.3,R,24,consistency,,
MICs,synthlayer_v0.3,R,25,consistency,,
PNI,T1w,L,0,identifiability,0.031092400840570345,
PNI,T1w,L,1,identifiability,0.04540594095460203,
PNI,T1w,L,2,identifiability,0.056049235293594596,
PNI,T1w,L,3,identifiability,0.03386047113520593,
PNI,T1w,L,4,identifiability,0.022336094914222684,
PNI,T1w,L,5,identifiability,0.0328724016146432,
PNI,T1w,L,6,identifiability,,
PNI,T1w,L,7,identifiability,0.032965794038499883,
PNI,T1w,L,8,identifiability,0.03674328551521417,
PNI,T1w,L,9,identifiability,,
PNI,T1w,L,10,identifiability,,
PNI,T1w,L,11,identifiability,,
PNI,T1w,L,12,identifiability,,
PNI,T1w,L,13,identifiability,,
PNI,T1w,L,14,identifiability,0.062074254691257894,
PNI,T1w,L,15,identifiability,0.03182538268030718,
PNI,T1w,L,16,identifiability,,
PNI,T1w,L,17,identifiability,0.13147766439388112,
PNI,T1w,L,18,identifiability,,
PNI,T1w,L,19,identifiability,,
PNI,T1w,L,20,identifiability,0.014756898908879901,
PNI,T1w,L,21,identifiability,,
PNI,T1w,L,22,identifiability,0.05809437182068236,
PNI,T1w,L,23,identifiability,0.01672573679393372,
PNI,T1w,L,24,identifiability,,
PNI,T1w,L,25,identifiability,0.029407315737615212,
PNI,T1w,R,0,identifiability,0.04666716025527919,
PNI,T1w,R,1,identifiability,0.040371723006400746,
PNI,T1w,R,2,identifiability,0.047742499707752566,
PNI,T1w,R,3,identifiability,0.03072016875861889,
PNI,T1w,R,4,identifiability,0.01930979559589888,
PNI,T1w,R,5,identifiability,0.0313768529908672,
PNI,T1w,R,6,identifiability,,
PNI,T1w,R,7,identifiability,0.051291537985121816,
PNI,T1w,R,8,identifiability,0.0414633890267849,
PNI,T1w,R,9,identifiability,,
PNI,T1w,R,10,identifiability,,
PNI,T1w,R,11,identifiability,,
PNI,T1w,R,12,identifiability,,
PNI,T1w,R,13,identifiability,,
PNI,T1w,R,14,identifiability,0.051951713002425015,
PNI,T1w,R,15,identifiability,0.02623716713760707,
PNI,T1w,R,16,identifiability,,
PNI,T1w,R,17,identifiability,0.09147426975042024,
PNI,T1w,R,18,identifiability,,
PNI,T1w,R,19,identifiability,,
PNI,T1w,R,20,identifiability,0.021619679521294552,
PNI,T1w,R,21,identifiability,,
PNI,T1w,R,22,identifiability,0.06113935018904519,
PNI,T1w,R,23,identifiability,0.017538370874476295,
PNI,T1w,R,24,identifiability,,
PNI,T1w,R,25,identifiability,0.0337034416380419,
PNI,synthseg_v0.2,L,0,identifiability,0.03163732597763347,
PNI,synthseg_v0.2,L,1,identifiability,0.04458324120505518,
PNI,synthseg_v0.2,L,2,identifiability,0.05092772718540542,
PNI,synthseg_v0.2,L,3,identifiability,0.03460042695688874,
PNI,synthseg_v0.2,L,4,identifiability,0.022044557304199627,
PNI,synthseg_v0.2,L,5,identifiability,0.03165814919182834,
PNI,synthseg_v0.2,L,6,identifiability,,
PNI,synthseg_v0.2,L,7,identifiability,0.03269529452087614,
PNI,synthseg_v0.2,L,8,identifiability,0.035111095669209606,
PNI,synthseg_v0.2,L,9,identifiability,,
PNI,synthseg_v0.2,L,10,identifiability,,
PNI,synthseg_v0.2,L,11,identifiability,,
PNI,synthseg_v0.2,L,12,identifiability,,
PNI,synthseg_v0.2,L,13,identifiability,,
PNI,synthseg_v0.2,L,14,identifiability,0.04914355494723902,
PNI,synthseg_v0.2,L,15,identifiability,0.034547628498343586,
PNI,synthseg_v0.2,L,16,identifiability,,
PNI,synthseg_v0.2,L,17,identifiability,0.12864661845964864,
PNI,synthseg_v0.2,L,18,identifiability,,
PNI,synthseg_v0.2,L,19,identifiability,,
PNI,synthseg_v0.2,L,20,identifiability,0.016771483192356308,
PNI,synthseg_v0.2,L,21,identifiability,,
PNI,synthseg_v0.2,L,22,identifiability,0.04829657758052397,
PNI,synthseg_v0.2,L,23,identifiability,0.015978461155601673,
PNI,synthseg_v0.2,L,24,identifiability,,
PNI,synthseg_v0.2,L,25,identifiability,0.027318187866173703,
PNI,synthseg_v0.2,R,0,identifiability,0.04020655413079636,
PNI,synthseg_v0.2,R,1,identifiability,0.03931127161943757,
PNI,synthseg_v0.2,R,2,identifiability,0.04827103179261206,
PNI,synthseg_v0.2,R,3,identifiability,0.0301608226645727,
PNI,synthseg_v0.2,R,4,identifiability,0.018930523330812486,
PNI,synthseg_v0.2,R,5,identifiability,0.032141495365802596,
PNI,synthseg_v0.2,R,6,identifiability,,
PNI,synthseg_v0.2,R,7,identifiability,0.05302931533503895,
PNI,synthseg_v0.2,R,8,identifiability,0.0413460065013456,
PNI,synthseg_v0.2,R,9,identifiability,,
PNI,synthseg_v0.2,R,10,identifiability,,
PNI,synthseg_v0.2,R,11,identifiability,,
PNI,synthseg_v0.2,R,12,identifiability,,
PNI,synthseg_v0.2,R,13,identifiability,,
